temperature,humidity,ac_on,lights_on,tv_on,power_watts,recorded_at
28.49,71.19,1,1,1,1278.28,2026-01-01 00:00:00
26.59,67.4,0,1,1,152.64,2026-01-01 01:00:00
28.94,60.48,0,1,1,132.76,2026-01-01 02:00:00
31.57,54.82,0,0,0,21.57,2026-01-01 03:00:00
26.3,65.59,1,1,0,1246.12,2026-01-01 04:00:00
26.3,63.15,1,1,1,1401.66,2026-01-01 05:00:00
31.74,67.16,0,0,0,26.41,2026-01-01 06:00:00
29.3,65.08,1,1,0,1314.71,2026-01-01 07:00:00
25.59,68.4,1,0,1,1322.04,2026-01-01 08:00:00
28.63,55.72,0,1,1,120.6,2026-01-01 09:00:00
25.61,70.54,0,0,1,106.68,2026-01-01 10:00:00
25.6,61.58,1,1,1,1200.81,2026-01-01 11:00:00
27.73,76.6,1,1,1,1251.11,2026-01-01 12:00:00
21.26,54.49,1,1,0,1137.76,2026-01-01 13:00:00
21.83,73.89,0,0,1,135.11,2026-01-01 14:00:00
25.31,61.58,0,1,0,39.45,2026-01-01 15:00:00
23.96,54.79,1,1,0,1275.2,2026-01-01 16:00:00
27.94,56.13,0,1,1,121.87,2026-01-01 17:00:00
24.28,57.44,0,1,0,32.52,2026-01-01 18:00:00
22.76,63.39,0,1,0,31.26,2026-01-01 19:00:00
31.4,64.18,1,1,0,1213.92,2026-01-01 20:00:00
26.32,55.41,1,1,1,1445.08,2026-01-01 21:00:00
27.2,59.81,1,1,0,1215.54,2026-01-01 22:00:00
22.73,77.14,1,1,1,1303.9,2026-01-01 23:00:00
25.37,73.82,0,1,0,22.21,2026-01-02 00:00:00
27.33,63.49,1,1,1,1430.48,2026-01-02 01:00:00
23.55,60.3,0,1,1,142.8,2026-01-02 02:00:00
28.13,60.96,1,1,0,1225.33,2026-01-02 03:00:00
25.2,64.91,1,0,0,1113.02,2026-01-02 04:00:00
26.12,51.82,1,1,0,985.95,2026-01-02 05:00:00
25.19,57.94,0,1,1,147.49,2026-01-02 06:00:00
32.56,46.65,1,1,1,1375.16,2026-01-02 07:00:00
